ANO_LETIVO,NM_DIRETORIA,NM_MUNICIPIO,CD_REDE_ENSINO,APR_1,REP_1,ABA_1,APR_2,REP_2,ABA_2,APR_3,REP_3,ABA_3,MESORREGIAO
2013,ADAMANTINA,DRACENA,1.0,98.69,1.31,0.0,93.67,2.53,3.8,84.93,10.6,4.48,ARACATUBA
2013,ADAMANTINA,OSVALDO CRUZ,1.0,98.39,1.61,0.0,98.08,1.92,0.0,89.18,9.28,1.55,ARACATUBA
2013,ADAMANTINA,PACAEMBU,1.0,95.45,3.41,1.14,100.0,0.0,0.0,83.28,13.31,3.41,ARACATUBA
2013,ADAMANTINA,PANORAMA,1.0,98.33,1.67,0.0,100.0,0.0,0.0,93.58,4.04,2.39,ARACATUBA
2013,ADAMANTINA,ADAMANTINA,1.0,0.0,0.0,0.0,89.73,7.15,3.12,83.15,11.16,5.69,ARACATUBA
2013,ADAMANTINA,FLORIDA PAULISTA,1.0,0.0,0.0,0.0,92.96,4.38,2.66,89.36,8.17,2.48,ARACATUBA
2013,ADAMANTINA,INUBIA PAULISTA,1.0,0.0,0.0,0.0,96.19,3.81,0.0,92.96,7.04,0.0,ARACATUBA
2013,ADAMANTINA,IRAPURU,1.0,0.0,0.0,0.0,92.64,4.01,3.34,90.21,7.23,2.55,ARACATUBA
2013,ADAMANTINA,JUNQUEIROPOLIS,1.0,98.99,1.01,0.0,97.73,2.27,0.0,91.57,8.43,0.0,ARACATUBA
2013,ADAMANTINA,LUCELIA,1.0,100.0,0.0,0.0,98.72,1.28,0.0,70.54,29.29,0.17,ARACATUBA
2013,ADAMANTINA,MONTE CASTELO,1.0,0.0,0.0,0.0,98.57,0.95,0.48,88.08,9.27,2.65,ARACATUBA
2013,ADAMANTINA,PAULICEIA,1.0,0.0,0.0,0.0,92.84,7.16,0.0,81.69,18.31,0.0,ARACATUBA
2013,ADAMANTINA,PRACINHA,1.0,0.0,0.0,0.0,98.91,1.09,0.0,93.94,6.06,0.0,ARACATUBA
2013,ADAMANTINA,SANTA MERCEDES,1.0,0.0,0.0,0.0,98.31,1.69,0.0,96.24,3.76,0.0,ARACATUBA
2013,ADAMANTINA,SAO JOAO DO PAU D'ALHO,1.0,0.0,0.0,0.0,98.0,2.0,0.0,100.0,0.0,0.0,ARACATUBA
2013,ADAMANTINA,MARIAPOLIS,1.0,97.61,2.39,0.0,0.0,0.0,0.0,73.87,23.42,2.7,ARACATUBA
2013,ADAMANTINA,NOVA GUATAPORANGA,1.0,0.0,0.0,0.0,88.24,8.82,2.94,87.23,7.45,5.32,ARACATUBA
2013,ADAMANTINA,SAGRES,1.0,97.24,2.76,0.0,0.0,0.0,0.0,85.56,10.0,4.44,ARACATUBA
2013,ADAMANTINA,SALMOURAO,1.0,0.0,0.0,0.0,92.9,5.48,1.61,84.7,8.74,6.56,ARACATUBA
2013,ADAMANTINA,TUPI PAULISTA,1.0,100.0,0.0,0.0,99.23,0.77,0.0,85.25,9.0,5.75,ARACATUBA
2013,ADAMANTINA,OURO VERDE,1.0,99.46,0.54,0.0,99.12,0.88,0.0,91.72,8.28,0.0,ARACATUBA
2013,ADAMANTINA,FLORA RICA,1.0,98.89,1.11,0.0,92.05,7.95,0.0,92.59,7.41,0.0,ARACATUBA
2013,AMERICANA,SANTA BARBARA D'OESTE,1.0,99.18,0.82,0.0,98.98,1.02,0.0,83.98,8.63,7.39,METROPOLITANA DE SAO PAULO
2013,AMERICANA,NOVA ODESSA,1.0,98.88,0.87,0.25,95.52,4.48,0.0,88.67,5.06,6.28,METROPOLITANA DE SAO PAULO
2013,AMERICANA,AMERICANA,1.0,99.22,0.69,0.1,95.05,3.53,1.42,84.06,11.59,4.35,METROPOLITANA DE SAO PAULO
2013,ANDRADINA,MIRANDOPOLIS,1.0,98.92,1.08,0.0,99.45,0.55,0.0,94.57,4.87,0.56,ARACATUBA
2013,ANDRADINA,CASTILHO,1.0,98.04,1.54,0.43,94.21,4.13,1.65,90.47,2.57,6.96,ARACATUBA
